ARK,Vue,Image_filename,Annotation_filename,Category_name,Gallica,IIIF,Confidence
ark:/12148/bpt6k70557r,0002,bpt6k70557r-0002.jpg,bpt6k70557r/bpt6k70557r-0002-Vignette_0.jpg,Vignette,https://gallica.bnf.fr/ark:/12148/bpt6k70557r/f0002.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k70557r/f0002/pct:27.31,37.77,45.72,36.7/max/0/default.jpg",0.9179506897926331
ark:/12148/bpt6k70557r,0003,bpt6k70557r-0003.jpg,bpt6k70557r/bpt6k70557r-0003-Lettrine_0.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k70557r/f0003.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k70557r/f0003/pct:32.0,25.11,8.51,5.3/max/0/default.jpg",0.5374417304992676
ark:/12148/bpt6k858005x,0023,bpt6k858005x-0023.jpg,bpt6k858005x/bpt6k858005x-0023-Lettrine_0.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0023.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0023/pct:14.3,10.54,10.82,7.37/max/0/default.jpg",0.8564891815185547
ark:/12148/bpt6k858005x,0023,bpt6k858005x-0023.jpg,bpt6k858005x/bpt6k858005x-0023-Lettrine_1.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0023.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0023/pct:13.11,62.12,7.9,4.66/max/0/default.jpg",0.5628751516342163
ark:/12148/bpt6k858005x,0023,bpt6k858005x-0023.jpg,bpt6k858005x/bpt6k858005x-0023-Lettrine_2.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0023.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0023/pct:49.76,38.92,8.29,4.78/max/0/default.jpg",0.5478914380073547
ark:/12148/bpt6k858005x,0023,bpt6k858005x-0023.jpg,bpt6k858005x/bpt6k858005x-0023-Lettrine_3.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0023.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0023/pct:50.0,30.45,8.14,4.72/max/0/default.jpg",0.5312821865081787
ark:/12148/bpt6k858005x,0023,bpt6k858005x-0023.jpg,bpt6k858005x/bpt6k858005x-0023-Lettrine_4.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0023.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0023/pct:13.9,20.09,7.03,4.43/max/0/default.jpg",0.4961189925670624
ark:/12148/bpt6k858005x,0009,bpt6k858005x-0009.jpg,bpt6k858005x/bpt6k858005x-0009-Lettrine_0.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0009.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0009/pct:30.41,8.46,8.45,4.78/max/0/default.jpg",0.483949214220047
ark:/12148/bpt6k858005x,0009,bpt6k858005x-0009.jpg,bpt6k858005x/bpt6k858005x-0009-Lettrine_1.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0009.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0009/pct:23.54,8.29,7.19,4.95/max/0/default.jpg",0.4030722975730896
ark:/12148/bpt6k858005x,0024,bpt6k858005x-0024.jpg,bpt6k858005x/bpt6k858005x-0024-Lettrine_0.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0024.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0024/pct:54.25,21.84,8.92,4.62/max/0/default.jpg",0.628970205783844
ark:/12148/bpt6k858005x,0024,bpt6k858005x-0024.jpg,bpt6k858005x/bpt6k858005x-0024-Lettrine_1.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0024.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0024/pct:15.11,40.71,7.84,5.02/max/0/default.jpg",0.5917654037475586
ark:/12148/bpt6k858005x,0018,bpt6k858005x-0018.jpg,bpt6k858005x/bpt6k858005x-0018-Lettrine_0.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0018.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0018/pct:22.3,9.01,7.76,5.13/max/0/default.jpg",0.40701621770858765
ark:/12148/bpt6k858005x,0025,bpt6k858005x-0025.jpg,bpt6k858005x/bpt6k858005x-0025-Lettrine_0.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0025.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0025/pct:16.67,69.2,7.11,4.66/max/0/default.jpg",0.5112080574035645
ark:/12148/bpt6k858005x,0027,bpt6k858005x-0027.jpg,bpt6k858005x/bpt6k858005x-0027-Lettrine_0.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0027.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0027/pct:13.74,51.47,10.74,7.31/max/0/default.jpg",0.873491108417511
ark:/12148/bpt6k858005x,0016,bpt6k858005x-0016.jpg,bpt6k858005x/bpt6k858005x-0016-Lettrine_0.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0016.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0016/pct:20.31,10.03,7.76,4.96/max/0/default.jpg",0.5589082837104797
ark:/12148/bpt6k858005x,0014,bpt6k858005x-0014.jpg,bpt6k858005x/bpt6k858005x-0014-Ornement_0.jpg,Ornement,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0014.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0014/pct:95.29,0.06,4.71,3.36/max/0/default.jpg",0.5005011558532715
ark:/12148/bpt6k858005x,0014,bpt6k858005x-0014.jpg,bpt6k858005x/bpt6k858005x-0014-Lettrine_1.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0014.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0014/pct:20.73,10.03,7.84,5.25/max/0/default.jpg",0.4358493685722351
ark:/12148/bpt6k858005x,0015,bpt6k858005x-0015.jpg,bpt6k858005x/bpt6k858005x-0015-Lettrine_0.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k858005x/f0015.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k858005x/f0015/pct:28.36,9.15,8.53,4.78/max/0/default.jpg",0.45494815707206726
